t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.16,0.39999999999999997,325448.0,214598,29554,1856,0.8723212253260056,0.12013430457546095,0.007544470098533381
0.16,0.41,325448.0,214598,29803,1607,0.8723212253260056,0.12114646678156808,0.0065323078924262624
0.16,0.42,325448.0,214598,29803,1607,0.8723212253260056,0.12114646678156808,0.0065323078924262624
0.16,0.42999999999999994,325448.0,214598,30545,865,0.8723212253260056,0.12416262885759813,0.0035161458163962146
0.16,0.43999999999999995,325448.0,214598,30901,509,0.8723212253260056,0.12560973626873922,0.002069038405255114
0.16,0.44999999999999996,325448.0,214598,30901,509,0.8723212253260056,0.12560973626873922,0.002069038405255114
0.16,0.45999999999999996,325448.0,214598,30901,509,0.8723212253260056,0.12560973626873922,0.002069038405255114
0.16,0.47,325448.0,214598,30901,509,0.8723212253260056,0.12560973626873922,0.002069038405255114
0.16,0.48,325448.0,214598,30999,411,0.8723212253260056,0.12600809729764886,0.0016706773763454847
0.16,0.49,325448.0,214598,30999,411,0.8723212253260056,0.12600809729764886,0.0016706773763454847
0.16,0.49999999999999994,325448.0,214598,30999,411,0.8723212253260056,0.12600809729764886,0.0016706773763454847
0.16,0.51,325448.0,214598,31001,409,0.8723212253260056,0.1260162271145654,0.0016625475594289616
0.16,0.52,325448.0,214598,31001,409,0.8723212253260056,0.1260162271145654,0.0016625475594289616
0.16,0.53,325448.0,214598,31001,409,0.8723212253260056,0.1260162271145654,0.0016625475594289616
0.16,0.54,325448.0,214598,31001,409,0.8723212253260056,0.1260162271145654,0.0016625475594289616
0.16,0.5499999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.5599999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.57,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.58,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.59,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.5999999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6099999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6199999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6299999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6399999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6499999999999999,325448.0,214598,31370,40,0.8723212253260056,0.1275161783356639,0.0001625963383304608
0.16,0.6599999999999999,325448.0,214598,31393,17,0.8723212253260056,0.1276096712302039,6.910344379044584e-05
0.16,0.6699999999999999,325448.0,214598,31393,17,0.8723212253260056,0.1276096712302039,6.910344379044584e-05
0.16,0.6799999999999999,325448.0,214598,31393,17,0.8723212253260056,0.1276096712302039,6.910344379044584e-05
0.16,0.69,325448.0,214598,31393,17,0.8723212253260056,0.1276096712302039,6.910344379044584e-05
0.16,0.7,325448.0,214598,31393,17,0.8723212253260056,0.1276096712302039,6.910344379044584e-05
0.16999999999999998,0.2,325448.0,221151,4534,20323,0.8989585704529934,0.01843029494975773,0.08261113459724886
0.16999999999999998,0.21000000000000002,325448.0,221151,7010,17847,0.8989585704529934,0.028495008292413256,0.07254642125459335
0.16999999999999998,0.22,325448.0,221151,10719,14138,0.8989585704529934,0.043571753764105235,0.05746967578290137
0.16999999999999998,0.23,325448.0,221151,10719,14138,0.8989585704529934,0.043571753764105235,0.05746967578290137
0.16999999999999998,0.24,325448.0,221151,10719,14138,0.8989585704529934,0.043571753764105235,0.05746967578290137
